LATITUDE,LONGITUDE,POSTCODE,SELLING_PRICE,AREA_SQM,AGE,PROX_CBD,PROX_CHILDCARE,PROX_ELDERLYCARE,PROX_URA_GROWTH_AREA,PROX_HAWKER_MARKET,PROX_KINDERGARTEN,PROX_MRT,PROX_PARK,PROX_PRIMARY_SCH,PROX_TOP_PRIMARY_SCH,PROX_SHOPPING_MALL,PROX_SUPERMARKET,PROX_BUS_STOP,NO_Of_UNITS,FAMILY_FRIENDLY,FREEHOLD,LEASEHOLD_99YR
1.287145,103.780171,118635,3000000,309,30,7.941258807,0.165979317,2.519811803,6.618740747,1.765422066,0.058355518,0.560718797,1.171044551,1.634025609,3.327319512,2.210271728,0.910395841,0.103361663,18,0,1,0
1.328698,103.812264,288420,3880000,290,32,6.609797112,0.280272464,1.933333817,7.505108712,0.54507614,0.615924123,0.658446091,0.199226888,0.974783418,0.974783418,2.937427853,0.590061682,0.286734076,20,0,1,0
1.313727,103.797053,267833,3325000,248,33,6.897999854,0.429226695,0.50213952,6.463886626,0.377893009,0.141203091,0.305343336,0.277988557,1.471501617,1.471501617,1.225685011,0.413558281,0.285047765,27,0,1,0
1.308563,103.824731,258380,4250000,127,7,4.03886135,0.394735433,1.991031588,4.906512429,1.682599692,0.382000759,0.691018251,0.983284259,1.454632445,2.300639392,0.352567073,0.416221939,0.298723405,30,0,1,0
1.3214372,103.9505128,467169,1400000,145,28,11.78340206,0.119466632,1.121257049,6.410631711,0.564783969,0.460973863,0.528910021,0.116420244,0.709460321,0.709460321,1.307776652,0.581055074,0.344927581,30,0,1,0
1.314198,103.938602,466472,1320000,139,22,10.26354467,0.125310614,0.78929802,5.092160041,0.781204724,0.099392846,0.319663709,0.4102575,0.849503916,0.849503916,1.207826661,1.163012759,0.072363625,31,1,1,0
1.3193575,103.8370844,309502,3410000,218,24,4.243152328,0.326167433,1.330371408,5.182987225,0.836743827,0.157603494,0.637061681,0.417362674,0.225948151,2.808914938,0.75254463,0.252703414,0.315974244,32,1,1,0
1.322667,103.948006,468497,1420000,141,24,11.57277916,0.162167213,0.812641076,6.141997777,0.784480279,0.301875629,0.533433655,0.125540634,0.637888922,0.637888922,1.001334437,0.732662311,0.288200742,32,0,1,0
1.2774979,103.7937437,118450,2025000,165,27,6.462302423,0.122677995,1.821977673,6.782385489,0.314666651,0.88268946,0.303806495,0.272585028,1.643147186,3.38980144,0.938103782,0.938103782,0.174416523,32,1,1,0
1.3164719,103.8026471,268157,2550000,168,31,6.522071414,0.609362707,1.040025952,6.967029763,0.333588767,0.369527825,0.54063319,0.479122289,0.787856072,0.787856072,1.908249389,1.054440735,0.358155005,32,1,0,0
1.3186343,103.9054102,416558,927000,112,17,7.133011562,0.219890679,1.796985797,1.381665582,0.227309537,0.368038485,0.283404704,0.624828023,0.624691963,2.091708975,1.257520854,0.358807509,0.141778546,34,0,1,0
1.299148,103.884952,439089,1305000,89,22,4.092356907,0.111912582,0.394960876,2.281612657,0.373262898,0.138633609,0.171477518,0.269611427,0.25341071,0.25341071,1.011517276,0.980059883,0.037833848,34,0,1,0
1.300664,103.8239227,249617,8200000,302,6,3.582466967,0.736902148,1.190191757,4.374553629,1.227320177,0.559265886,0.200198228,1.405476644,1.040179286,2.820381563,0.473037228,0.636067522,0.011830673,35,0,1,0
1.3218866,103.946679,466671,970000,97,31,11.40353452,0.079437547,0.711904045,5.988078737,0.669331491,0.144010028,0.595931839,0.19920953,0.50419114,0.50419114,0.890381701,0.62133383,0.119080842,36,0,1,0
1.317356,103.833578,259709,2400000,164,21,4.208159469,0.275674462,1.723542916,5.144021813,0.866347672,0.226605002,0.636933209,0.421539566,0.229286123,2.858063308,1.112267099,0.248949612,0.1284966,37,0,1,0
1.3071355,103.8261859,258371,4850000,216,18,3.812483135,0.227969226,1.804912836,4.680313016,1.575013804,0.396548477,0.595306522,1.187912967,1.579490442,2.525269968,0.126104128,0.19637901,0.119004969,39,0,1,0
1.314694,103.832202,259792,3100000,177,12,4.029674154,0.460979088,1.993446694,4.958518558,0.849291515,0.559271355,0.652578751,0.722602562,0.550576912,2.765405317,0.856334343,0.506294813,0.234275139,40,0,1,0
1.341648,103.960488,488067,1300000,152,21,13.72025715,0.161722913,0.268276565,7.952755088,1.82016872,0.242363061,0.103734864,0.304383052,0.980689017,2.042452591,0.846038537,0.845354577,0.165931864,40,0,0,0
1.312249,103.915187,425569,1317500,148,22,7.757454825,0.341751613,0.82908027,2.551021769,0.725836319,0.221424429,0.594560338,0.288311826,0.762571011,1.687228067,1.393310985,0.929424139,0.286239715,41,0,1,0
1.310248,103.827866,259945,15844000,368,1,3.926253336,0.288053637,2.130525495,4.822046953,1.30284861,0.749895122,0.764722498,1.295768325,1.221083516,2.494782456,0.341931826,0.298483868,0.370506552,43,1,1,0
1.3273986,103.8123828,288411,1668000,116,18,6.493309279,0.202748711,1.953943533,7.385138643,0.408360864,0.482082907,0.61114068,0.233454147,0.857438801,0.857438801,2.802648763,0.46680262,0.237783676,43,0,1,0
1.2963499,103.841444,238352,1830000,129,22,1.771722207,0.208649144,0.952886492,2.685905718,0.916271453,1.325923645,0.529983552,0.418991451,0.634964921,3.033303154,0.452004603,0.33432658,0.217668853,43,0,1,0
1.3201791,103.95504,466609,1000000,136,24,12.20939164,0.141115048,1.64264336,6.90750515,0.051817113,0.41488503,0.174478357,0.370412339,1.103757483,1.103757483,1.763875309,0.176823412,0.031652947,43,0,1,0
1.33806,103.769875,598008,1340000,133,31,10.88536928,0.199309403,2.019397539,3.118370582,0.699700037,0.315084506,0.758525837,0.148865221,0.353792906,2.836199599,0.983092057,0.842742017,0.107584011,43,0,0,1
1.3379201,103.7703439,598010,900000,115,31,10.83329367,0.241468207,2.016268386,3.167120187,0.652777382,0.26604556,0.719733226,0.171703451,0.402363469,2.794354873,0.932860434,0.809478799,0.159512977,43,0,0,1
1.3065699,103.8202586,258502,8575376,258,5,4.284994423,0.888215714,1.959876734,5.108282669,1.949549551,0.319147383,0.155419858,0.667749156,1.733163427,2.088000974,0.443067811,0.752182568,0.11163095,46,0,1,0
1.308758,103.836842,229717,3828000,199,13,3.198524547,0.216950334,1.321404633,4.130972088,0.475900443,0.741043924,0.440524825,0.81516636,0.5100243,3.467836545,0.378854985,0.555280472,0.270758474,46,0,1,0
1.3779734,103.957869,509032,1080000,121,22,15.78321667,0.427666744,1.163631266,6.871961081,3.600781717,0.044829032,1.106712066,0.638811414,0.616242782,0.811608806,1.088958186,0.351529862,0.098069573,48,0,0,0
1.377754,103.958089,509039,1090000,123,22,15.78553481,0.408404298,1.144909696,6.904664146,3.586317302,0.076114938,1.116317846,0.66644873,0.593082427,0.777279034,1.09609076,0.384274,0.113702403,48,0,0,0
1.377851,103.958235,509042,1080000,123,22,15.80484651,0.415767293,1.159063071,6.91451623,3.567320815,0.065553579,1.135722905,0.680960393,0.60512965,0.775679437,1.11557565,0.394176468,0.131821992,48,0,0,0
1.302843,103.898674,437830,1980000,152,4,5.658436015,0.101522862,1.194437652,1.802016177,0.8090423,0.275416044,0.436696065,0.332127863,0.342126133,1.486066832,0.483067485,0.483067485,0.063248953,50,0,1,0
1.302996,103.898766,437831,1440000,134,4,5.67425133,0.085066759,1.196197272,1.789764203,0.789309218,0.259615716,0.45633782,0.35190246,0.322389204,1.48376235,0.469653347,0.469653347,0.065979512,50,0,1,0
1.315453,103.7768545,276957,5100000,322,30,9.008754378,0.380171026,0.961093319,4.318126661,0.68723901,0.386683788,0.500129036,0.405577587,0.825051274,0.825051274,1.405371935,0.617154708,0.142971301,51,1,1,0
1.324413,103.8071889,269031,1750000,96,10,6.666269059,0.368237999,1.457949868,7.287274625,0.767475778,0.412994715,0.216458456,0.190768216,0.399478004,0.399478004,2.850829031,0.346217737,0.19007082,52,1,0,0
1.31276,103.898254,429974,1510000,111,10,6.111951828,0.162409026,1.169446309,0.828468545,0.394977258,0.197858347,0.828468545,0.15962555,0.504350456,1.136556835,0.452802312,0.325194306,0.25996224,52,0,1,0
1.314847,103.808561,257536,5236000,278,13,5.878045221,0.280054004,1.457068159,6.694227095,0.360629056,0.412397429,0.301717919,0.549087376,0.677898336,0.677898336,2.029919783,1.008901017,0.281998211,53,0,1,0
1.3160882,103.7760585,276958,2900000,191,31,9.117801964,0.393302084,0.851225541,4.207253852,0.618022191,0.497543898,0.602501771,0.514878724,0.902688847,0.902688847,1.321771582,0.545023906,0.122430165,54,1,1,0
1.2988106,103.8881906,438051,3225000,207,3,4.409042954,0.105259863,0.690668377,2.201775195,0.617118184,0.296858618,0.289414229,0.272253279,0.61324942,0.61324942,1.365140591,1.088750864,0.153730196,55,0,1,0
1.318438,103.9066656,417771,1400000,129,20,7.239479766,0.175675236,1.708052749,1.52048481,0.339941785,0.447786315,0.420954099,0.710918825,0.677117317,2.212449552,1.383576748,0.468170486,0.081924063,55,0,1,0
1.311694,103.8905489,438686,750000,65,21,5.330695697,0.29135769,0.478737908,0.757319869,0.667496885,0.667496803,0.456069188,0.253703656,0.271976192,0.271976192,0.584929113,0.374072454,0.042340733,55,1,1,0
1.3173411,103.9109523,426323,1149000,122,11,7.588375936,0.240502371,1.421747786,1.998555522,0.815018942,0.335627376,0.45541225,0.430894624,0.764753928,1.833604912,1.48963283,0.717084748,0.161288142,56,0,1,0
1.3168986,103.8344718,259811,1700000,117,21,4.11690689,0.282785029,1.711004647,5.053897445,0.758711482,0.253404578,0.528571786,0.49159,0.210474653,2.963855436,1.01456201,0.162108242,0.132154548,57,0,1,0
1.34711,103.775796,589318,1080000,117,15,10.95570038,0.366080255,2.455000431,4.038585739,0.849870352,0.276240485,0.665527786,0.344120896,1.002426832,3.48083067,0.964358874,0.530527177,0.305716808,58,0,0,1
1.3792245,103.9634613,509506,1107500,227,18,16.34484715,0.147310653,1.536458085,7.380593287,2.969890748,0.594811726,1.725968246,1.257700715,0.775439816,0.775439816,1.698238469,0.939771149,0.014527033,58,0,0,0
1.315236,103.82722,259830,2200000,115,6,4.397240688,0.19377347,2.366092848,5.309021784,1.398425129,0.919880073,0.533344497,0.860182812,0.673432811,2.215062548,0.899176061,0.496730812,0.157784762,59,0,1,0
1.313779,103.8250399,258361,3300000,179,6,4.427943918,0.096449504,2.552871072,5.324412572,1.609229277,0.935127566,0.699323632,1.024038015,0.892957094,2.041126961,0.822899854,0.705083248,0.260092338,60,0,1,0
1.360169,103.830843,576438,1900000,156,23,8.763658877,0.142670737,1.183768635,8.348137045,1.131494839,0.157091557,0.371160345,0.119792525,1.385078281,1.385078281,0.607305906,0.607305906,0.113073833,60,0,1,0
1.2967519,103.83687,238142,4091520,198,3,2.158064795,0.319576,1.077315276,3.028892766,0.799408199,0.865482704,0.431924136,0.483378792,0.323094052,2.776317774,0.426057595,0.224686178,0.112329775,61,0,1,0
1.316097,103.827934,259844,3180000,171,7,4.425612089,0.206694851,2.242635035,5.342769523,1.349087898,0.805853176,0.464913864,0.770666588,0.572115506,2.266783357,0.985082031,0.4070784,0.229520261,62,0,1,0
1.315819,103.9448649,466580,1315000,109,7,10.98118113,0.368108763,1.062505178,5.776459588,1.018871013,0.56119619,0.506420199,0.546677598,0.199184047,0.199184047,1.196042,1.001643385,0.039033199,62,0,1,0
1.324159,103.807083,269030,2680000,149,8,6.656055604,0.395816363,1.456936399,7.279394979,0.778646115,0.415547372,0.242624024,0.179095582,0.375940087,0.375940087,2.827717925,0.353355168,0.218193037,62,0,0,0
1.312866,103.904624,424968,880000,58,9,6.731906727,0.14686825,1.363651639,1.415251055,0.493628766,0.063116947,0.779377366,0.367818052,0.265546932,1.841022273,0.816012607,0.692935755,0.137713786,62,0,1,0
1.3133179,103.9042738,424980,690000,60,9,6.721847368,0.146906023,1.425908903,1.359573001,0.511680479,0.123935577,0.722500277,0.311099243,0.267848815,1.808353483,0.867015799,0.636626648,0.07427575,62,0,1,0
1.3781115,103.9574506,509050,1430000,211,3,15.75846286,0.438212699,1.170562142,6.823408354,3.639344943,0.046894537,1.074583629,0.590788496,0.632085926,0.8533228,1.05972295,0.302968262,0.072384885,63,0,0,1
1.3781361,103.9573965,509051,1030000,109,3,15.7557667,0.44070454,1.17234484,6.816801095,3.644098601,0.050351803,1.070920296,0.584512745,0.635129101,0.859335956,1.056495096,0.296363162,0.071535042,63,0,0,1
1.318329,103.840271,309767,2988000,131,1,4.013958443,0.087708461,1.161396761,4.951638393,0.688191961,0.118530653,0.4412915,0.230451588,0.568046807,2.661754656,0.380239161,0.380239161,0.1596572,64,0,1,0
1.304245,103.837712,229657,4770000,197,2,2.72352824,0.281129453,1.058868642,3.648618229,0.901138783,1.00577624,0.432722327,0.877620337,0.707031,3.55546699,0.153799413,0.387094995,0.225876453,64,0,1,0
1.304331,103.838028,229720,5787000,235,2,2.711893143,0.317515093,1.025681022,3.638761664,0.885018379,1.042188314,0.434616141,0.856816788,0.6793696,3.579172434,0.178306803,0.422749543,0.249371016,64,0,1,0
1.341737,103.773356,599717,1138000,112,11,10.80152051,0.102923829,2.308909266,3.586832474,0.388930583,0.151252673,0.299333419,0.238509342,0.509739355,3.008198207,0.669260595,0.315990658,0.154351114,64,0,0,1
1.3211003,103.956211,486365,880000,89,15,12.3662184,0.302700343,1.73821213,7.041908041,0.116705324,0.38738186,0.103675252,0.272813551,1.258370021,1.258370021,1.612393046,0.078146243,0.096846388,64,1,0,1
1.2951906,103.8269058,248743,3175000,167,1,3.004020954,0.126980952,0.499298708,3.746159736,0.571898504,0.2357446,0.745253239,0.733455477,0.572539065,2.234663935,0.589143543,0.238288225,0.180319127,65,0,1,0
1.3189704,103.906423,417786,1018000,80,8,7.248084873,0.183303566,1.741638055,1.496326804,0.283818207,0.384824243,0.378390992,0.72978463,0.61256276,2.209970885,1.376219824,0.409224979,0.132878451,65,0,1,0
1.3004995,103.8284832,238568,10000000,284,4,3.148644918,0.369751761,1.047233386,3.977640844,0.953768838,0.132684615,0.452681149,1.11406565,1.13614857,2.84382354,0.537717252,0.584465542,0.153543684,66,1,1,0
1.2970984,103.839866,239106,3950000,241,9,1.948549906,0.128475631,1.02411128,2.853413336,0.983798346,1.199987687,0.396290956,0.503171162,0.533433135,2.991716557,0.389349712,0.140130354,0.136731962,66,0,1,0
1.3230708,103.8414733,308729,1130000,81,16,4.482039612,0.232986883,0.781136726,5.414254955,1.229201691,0.559795696,0.426326509,0.171172663,0.448980413,2.173346659,0.396516589,0.396516589,0.054569324,66,0,1,0
1.290403,103.774851,118699,1390000,137,21,8.555491958,0.563171199,1.887778704,5.967248578,1.89860615,0.432953259,1.112325598,1.242596788,1.674371963,3.112882875,1.753827546,1.080745198,0.062456728,67,1,1,0
1.310617,103.80048,278735,1950000,157,25,6.399031991,0.14199981,0.444988798,6.941267069,0.402009343,0.50189441,0.486629563,0.563092991,1.198771771,1.428473844,1.403869917,0.572007772,0.095396542,67,1,1,0
1.343826,103.768834,598435,1124000,111,19,11.34463268,0.16959909,1.757967944,3.183523074,0.934162964,0.468697977,0.849560239,0.3439206,0.75068546,3.441234844,1.222834236,0.828643188,0.050654452,69,0,1,0
1.303028,103.827073,247855,8090000,376,1,3.442522173,0.386105118,1.339689536,4.284685751,1.270932799,0.279339427,0.39210828,1.430863252,1.359963788,2.896035694,0.370168611,0.278471165,0.094337735,70,0,1,0
1.324654,103.841361,307674,2250000,264,10,4.655413784,0.401909883,0.61062202,5.586823461,1.364223272,0.635581854,0.580507118,0.153499516,0.367293998,2.057719682,0.534210367,0.534210367,0.084692261,70,0,1,0
1.324615,103.841125,307686,1530000,98,10,4.657627737,0.406056761,0.620950208,5.589677325,1.380389871,0.645313952,0.589743826,0.180108143,0.393478987,2.079857844,0.546784444,0.546784444,0.111301343,70,0,1,0
1.324811,103.840862,307687,1810000,116,10,4.685981131,0.437020314,0.608232248,5.618554977,1.409941459,0.631710111,0.623584561,0.207683099,0.41498869,2.086817405,0.58214134,0.58214134,0.138646468,70,0,1,0
1.3306338,103.8088816,287164,2750000,244,36,7.020981497,0.386469353,1.567884036,7.416319381,0.924390172,0.814403526,0.528689112,0.119200576,1.07826557,1.07826557,3.304995824,0.253572517,0.475893299,70,0,1,0
